City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,San Jose De Rio Tinto,HN,71.1,clear sky,14.9333,-85.7,PARQUE ECOTURISTICO QUILIZ
2,Chuy,UY,66.58,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
3,Ambilobe,MG,72.72,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
5,Rikitea,PF,78.78,broken clouds,-23.1203,-134.9692,Pension Maro'i
8,Cidreira,BR,67.93,broken clouds,-30.1811,-50.2056,Hotel Castelo
12,Manaia,NZ,73.0,broken clouds,-39.55,174.1333,Freedom Campground
13,Rocha,UY,63.48,clear sky,-34.4833,-54.3333,Beleza Pura B&B
15,Hobart,AU,66.0,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
19,Nago,JP,69.8,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
29,Saint-Leu,RE,77.0,scattered clouds,-21.15,55.2833,La Caz Oceane
30,Busselton,AU,62.01,light rain,-33.65,115.3333,Observatory Guest House
33,Necocli,CO,78.96,overcast clouds,8.4234,-76.786,Hotel Boutique El Turista
35,Codrington,AU,60.4,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
36,Kaitangata,NZ,66.0,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
40,Oistins,BB,77.07,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
41,Puerto Ayora,EC,77.0,broken clouds,-0.7393,-90.3518,Castillo Galapagos
46,New Norfolk,AU,66.0,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
48,Broken Hill,AU,69.8,clear sky,-31.95,141.4333,Royal Exchange Hotel
49,Amalapuram,IN,68.0,mist,16.5833,82.0167,swayamprabha service apartments
56,Atuona,PF,79.99,broken clouds,-9.8,-139.0333,Villa Enata
57,Caravelas,BR,78.15,light rain,-17.7125,-39.2481,Pousada dos Navegantes
58,Bluff,NZ,61.45,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
59,Mecca,SA,64.4,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
61,Bredasdorp,ZA,66.2,light rain,-34.5322,20.0403,Bredasdorp Country Manor
64,Taltal,CL,63.73,clear sky,-25.4,-70.4833,Residencial Karime
66,Pisco,PE,71.6,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
67,Souillac,MU,75.0,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
71,Ahuimanu,US,77.0,clear sky,21.4447,-157.8378,Paradise Bay Resort
72,Kipushi,CD,63.23,moderate rain,-11.7667,27.2333,Villa Madimba
73,Berbera,SO,73.65,light rain,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
76,Guerrero Negro,MX,63.28,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
80,Mar Del Plata,AR,64.0,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
82,Hilo,US,78.8,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
84,Kapaa,US,73.4,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
86,Elliot,ZA,60.37,light rain,-31.3333,27.85,Rose Garden Dinner Bed and Breakfast
90,Hermanus,ZA,66.99,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
91,Touros,BR,77.0,few clouds,-5.1989,-35.4608,INN NEW HORIZON
92,Cape Town,ZA,70.0,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
95,Cabo San Lucas,MX,69.8,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
98,Saint-Philippe,RE,78.8,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
101,Guhagar,IN,72.7,clear sky,17.4842,73.1929,Hotel Seawinds
103,Tezu,IN,67.48,clear sky,27.9167,96.1667,Circuit House
105,Saint-Joseph,RE,78.8,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
106,Yei,SS,61.7,few clouds,4.095,30.6779,City Link Hotel
109,Kapoeta,SS,71.6,clear sky,4.7717,33.5903,Eastgate Hotel
110,San Quintin,MX,60.12,clear sky,30.4833,-115.95,Old Mill Hotel
114,Ancud,CL,62.6,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
116,Manacapuru,BR,75.2,clear sky,-3.2997,-60.6206,Novo Hotel
119,Port Shepstone,ZA,73.89,overcast clouds,-30.7414,30.455,My Den Beachfront B&B And Self-Catering
124,Itapetininga,BR,63.66,few clouds,-23.5917,-48.0531,Hotel Poloni
125,Guaruja,BR,78.01,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
127,La Libertad,EC,77.61,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
133,Murray Bridge,AU,63.0,overcast clouds,-35.1167,139.2667,Balcony On Sixth Lodge
135,Sur,OM,62.17,clear sky,22.5667,59.5289,Sur Plaza Hotel
138,Port Alfred,ZA,66.99,scattered clouds,-33.5906,26.891,The Halyards Hotel
141,Lompoc,US,60.8,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
142,Camocim,BR,78.94,clear sky,-2.9022,-40.8411,Hotel Ilha do Amor
144,Praia,CV,68.0,broken clouds,14.9215,-23.5087,LT Aparthotel
146,Encheng,CN,78.01,clear sky,22.1839,112.3026,Pinghu Hostel
148,Porto Walter,BR,75.58,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
150,Pathein,MM,78.75,few clouds,16.7833,94.7333,Pathein Hotel
156,Vao,NC,78.03,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
157,Itarema,BR,77.97,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
162,Malanje,AO,63.91,overcast clouds,-9.5402,16.340999999999998,Malanje Hotel
164,Mahebourg,MU,75.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
