City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hithadhoo,MV,-0.6,73.0833,81.36,76,0,12.19,clear sky
1,San Jose De Rio Tinto,HN,14.9333,-85.7,71.1,83,0,3.42,clear sky
2,Chuy,UY,-33.6971,-53.4616,66.58,90,0,8.77,clear sky
3,Ambilobe,MG,-13.2,49.05,72.72,94,99,2.75,overcast clouds
4,Dezhou,CN,37.4486,116.2925,37.53,73,0,13.96,clear sky
5,Rikitea,PF,-23.1203,-134.9692,78.78,69,73,10.56,broken clouds
6,Vaini,TO,-21.2,-175.2,84.2,84,75,9.22,broken clouds
7,Ingham,US,42.6,-84.3833,16.0,86,90,4.61,light snow
8,Cidreira,BR,-30.1811,-50.2056,67.93,75,71,6.02,broken clouds
9,Warrington,GB,53.3925,-2.5802,39.2,81,75,19.57,broken clouds
10,Aripuana,BR,-9.1667,-60.6333,72.14,99,100,2.19,overcast clouds
11,Ushuaia,AR,-54.8,-68.3,50.0,76,75,12.66,broken clouds
12,Manaia,NZ,-39.55,174.1333,73.0,70,75,8.99,broken clouds
13,Rocha,UY,-34.4833,-54.3333,63.48,94,3,4.12,clear sky
14,Hami,CN,42.8,93.45,33.22,72,99,5.53,overcast clouds
15,Hobart,AU,-42.8794,147.3294,66.0,63,75,17.27,broken clouds
16,Ibarra,EC,0.35,-78.1167,59.0,88,40,4.61,light rain
17,Moorhead,US,46.8739,-96.7676,-9.4,64,1,8.05,clear sky
18,Yellowknife,CA,62.456,-114.3525,-40.0,74,1,3.44,mist
19,Nago,JP,26.5881,127.9761,69.8,88,40,6.91,scattered clouds
20,Cartagena,CO,10.3997,-75.5144,80.6,78,0,8.05,clear sky
21,Kodiak,US,57.79,-152.4072,37.4,65,1,10.36,clear sky
22,Tambopata,PE,-12.7333,-69.1833,74.12,97,100,2.75,overcast clouds
23,Albany,US,42.6001,-73.9662,25.0,48,0,2.01,clear sky
24,Lagoa,PT,39.05,-27.9833,59.99,92,100,26.64,overcast clouds
25,Pangnirtung,CA,66.1451,-65.7125,23.5,80,76,3.53,broken clouds
26,Stokmarknes,NO,68.5646,14.9108,28.99,79,78,3.0,broken clouds
27,Mataura,NZ,-46.1927,168.8643,81.86,44,5,1.34,clear sky
28,Punta Arenas,CL,-53.15,-70.9167,51.8,66,0,17.27,clear sky
